user_id,user_active_degree,is_lowactive_period,is_live_streamer,is_video_author,follow_user_num,follow_user_num_range,fans_user_num,fans_user_num_range,friend_user_num,friend_user_num_range,register_days,register_days_range,onehot_feat0,onehot_feat1,onehot_feat2,onehot_feat3,onehot_feat4,onehot_feat5,onehot_feat6,onehot_feat7,onehot_feat8,onehot_feat9,onehot_feat10,onehot_feat11,onehot_feat12,onehot_feat13,onehot_feat14,onehot_feat15,onehot_feat16,onehot_feat17
24,full_active,0,0,1,59,"(50,100]",3,"[1,10)",0,0,298,181-365,1,4,17,634,2,0,1,0,64,5,2,0,0,0,0,0,0,0
25,high_active,0,0,1,43,"(10,50]",7,"[1,10)",2,"[1,5)",342,181-365,0,3,24,832,2,0,0,36,19,3,3,0,1,0,0,0,0,0
26,full_active,0,0,1,174,"(150,250]",22,"[10,100)",11,"[5,30)",279,181-365,1,3,8,362,2,0,1,35,11,2,2,0,0,0,0,0,0,0
27,full_active,0,0,1,47,"(10,50]",5,"[1,10)",3,"[1,5)",717,366-730,1,5,17,673,2,0,1,37,48,1,4,0,1,0,0,0,0,0
28,full_active,0,0,0,3,"(0,10]",0,0,0,0,128,91-180,0,1,1,425,2,0,0,34,224,5,0,1,0,0,0,0,0,0
29,full_active,0,0,0,5,"(0,10]",6,"[1,10)",0,0,249,181-365,1,1,8,401,0,0,1,37,134,3,2,0,0,0,0,0,0,0
30,full_active,0,0,0,84,"(50,100]",10,"[10,100)",10,"[5,30)",106,61-90,0,1,8,280,0,0,1,0,109,3,2,0,0,0,0,0,0,0
31,full_active,0,0,1,473,"(250,500]",9,"[1,10)",4,"[1,5)",770,730+,0,3,24,823,0,0,1,7,190,1,3,0,1,0,1,0,0,0
32,full_active,0,0,1,165,"(100,150]",1,"[1,10)",1,"[1,5)",252,181-365,0,6,8,366,1,0,1,19,151,5,2,0,1,0,0,0,0,0
33,high_active,0,0,0,8,"(0,10]",0,0,0,0,60,31-60,1,1,13,538,0,0,1,6,257,3,3,0,1,1,1,0,0,0
34,middle_active,0,0,1,196,"(150,250]",1,"[1,10)",1,"[1,5)",221,181-365,1,1,17,669,3,0,1,6,144,6,4,0,0,0,1,0,0,0
35,full_active,0,0,0,54,"(50,100]",7,"[1,10)",0,0,269,181-365,0,6,17,653,2,0,1,19,117,5,2,0,1,0,1,0,0,0
36,full_active,0,0,0,13,"(10,50]",0,0,0,0,119,91-180,0,1,24,828,2,0,0,13,292,4,3,0,0,0,1,0,0,0
37,full_active,0,0,1,7,"(0,10]",4,"[1,10)",0,0,351,181-365,0,1,17,661,1,0,1,37,282,1,0,0,1,0,0,0,0,0
38,full_active,0,0,0,9,"(0,10]",0,0,0,0,138,91-180,0,3,8,308,1,0,1,6,123,2,0,0,0,0,0,0,0,0
39,full_active,0,0,1,61,"(50,100]",28,"[10,100)",11,"[5,30)",1217,730+,0,4,13,546,0,0,0,12,88,6,2,0,0,0,0,0,0,0
40,high_active,0,0,0,274,"(250,500]",0,0,0,0,634,366-730,0,1,25,981,1,0,0,25,90,5,2,0,1,1,1,0,0,0
41,full_active,0,0,0,2,"(0,10]",1,"[1,10)",1,"[1,5)",219,181-365,1,1,23,499,,0,1,7,170,6,2,0,0,0,0,0,0,0
42,full_active,0,0,0,706,500+,13,"[10,100)",2,"[1,5)",278,181-365,0,6,23,261,,0,0,12,248,3,3,0,0,0,0,0,0,0
43,full_active,0,0,0,60,"(10,50]",0,0,0,0,152,91-180,0,3,17,624,1,0,1,19,194,6,2,0,0,0,0,0,0,0
44,full_active,0,0,0,10,"(0,10]",3,"[1,10)",2,"[1,5)",185,91-180,1,1,1,438,7,0,1,6,123,2,2,2,1,0,1,0,0,0
45,full_active,0,0,0,8,"(0,10]",0,0,0,0,187,91-180,0,1,16,579,1,0,1,16,112,6,2,0,0,0,0,0,0,0
46,full_active,0,0,0,403,"(250,500]",4,"[1,10)",1,"[1,5)",383,366-730,1,5,24,879,1,0,0,34,224,5,3,0,0,0,1,0,0,0
47,full_active,0,0,1,334,"(250,500]",15,"[10,100)",10,"[5,30)",304,181-365,1,6,8,414,1,0,0,25,163,1,3,0,1,0,0,0,0,0
48,full_active,0,0,0,17,"(10,50]",0,0,0,0,136,91-180,0,1,8,323,0,0,1,6,186,6,2,0,0,0,0,0,0,0
49,full_active,0,0,0,163,"(150,250]",3,"[1,10)",3,"[1,5)",382,181-365,0,1,25,1009,1,0,1,46,208,5,3,0,0,0,0,0,0,0
50,full_active,0,0,0,161,"(150,250]",17,"[10,100)",2,"[1,5)",298,181-365,1,1,21,721,0,0,0,25,322,6,2,0,0,0,0,0,0,0
51,high_active,0,0,0,9,"(0,10]",12,"[10,100)",5,"[5,30)",106,91-180,1,5,4,46,0,0,0,2,51,2,3,0,0,0,0,0,0,0
52,full_active,0,0,1,26,"(10,50]",0,0,0,0,219,181-365,0,1,8,201,0,0,1,37,139,4,2,0,1,0,0,0,0,0
53,full_active,0,0,0,4,"(0,10]",0,0,0,0,218,181-365,0,1,10,506,0,0,1,7,170,6,4,0,0,0,0,0,0,0
54,high_active,0,0,0,9,"(0,10]",0,0,0,0,32,31-60,0,2,25,1038,2,0,1,4,57,6,3,0,0,0,0,0,0,0
55,full_active,0,0,0,31,"(10,50]",0,0,0,0,125,91-180,0,4,17,629,2,0,1,15,179,4,4,0,1,1,0,0,0,0
56,full_active,0,0,0,90,"(50,100]",2,"[1,10)",0,0,136,91-180,0,4,8,371,1,0,0,2,51,2,0,0,0,0,0,0,0,0
57,full_active,0,0,0,19,"(10,50]",0,0,0,0,862,730+,0,1,1,452,1,0,1,6,206,2,2,2,0,0,0,0,0,0
58,full_active,0,0,0,59,"(50,100]",16,"[10,100)",10,"[5,30)",310,181-365,1,1,24,889,2,0,1,19,256,4,2,0,0,0,0,1,0,0
59,high_active,0,0,1,1379,500+,38,"[10,100)",31,"[30,60)",916,730+,0,3,17,629,2,0,0,36,135,1,3,0,1,0,0,0,0,0
60,full_active,0,0,1,165,"(150,250]",0,0,0,0,119,91-180,0,6,13,534,0,0,0,2,51,2,2,0,0,0,1,0,0,0
61,full_active,0,0,0,107,"(100,150]",2,"[1,10)",1,"[1,5)",263,181-365,1,1,24,821,0,0,1,15,333,3,3,0,0,0,0,0,0,0
62,full_active,0,0,0,10,"(0,10]",5,"[1,10)",0,0,277,181-365,1,1,11,492,0,0,1,8,302,3,3,0,1,0,0,0,0,0
63,high_active,0,0,1,1462,500+,21,"[10,100)",6,"[5,30)",320,181-365,1,1,8,308,1,0,1,15,258,6,3,0,1,0,0,0,0,0
64,full_active,0,0,1,663,500+,5,"[1,10)",0,0,548,366-730,1,5,13,567,1,0,0,34,169,3,2,0,1,1,0,0,0,0
65,high_active,0,0,0,7,"(0,10]",0,"[1,10)",0,0,35,31-60,0,1,25,1032,0,0,0,2,51,2,2,0,1,1,1,0,0,0
66,full_active,0,0,0,1269,500+,2,"[1,10)",0,0,201,181-365,0,4,8,323,0,0,0,34,198,6,3,0,0,0,0,0,0,0
67,UNKNOWN,0,0,1,83,"(50,100]",0,0,0,0,979,730+,0,2,17,692,3,0,1,4,339,6,3,0,1,1,0,0,0,0
68,full_active,0,0,0,21,"(10,50]",2,"[1,10)",0,0,315,181-365,1,4,8,394,1,0,1,4,244,5,3,0,0,0,0,0,0,0
69,full_active,0,0,0,20,"(10,50]",0,0,0,0,88,91-180,0,3,8,308,1,0,0,25,281,1,2,0,1,1,0,0,0,0
70,high_active,0,0,0,9,"(0,10]",0,0,0,0,182,91-180,0,1,8,324,1,0,0,33,272,4,2,0,0,0,0,0,0,0
71,full_active,0,0,0,63,"(50,100]",4,"[1,10)",0,0,364,181-365,1,1,1,453,2,0,1,6,123,2,2,2,0,0,0,0,0,0
72,full_active,0,0,0,37,"(10,50]",0,0,0,0,116,91-180,0,3,8,308,1,0,0,18,72,6,3,0,0,0,0,0,0,0
73,full_active,0,0,0,120,"(100,150]",3,"[1,10)",2,"[1,5)",99,61-90,0,1,8,284,0,0,1,0,64,5,2,0,0,0,0,0,0,0
74,full_active,0,0,0,341,"(250,500]",3,"[1,10)",0,0,165,91-180,0,1,25,981,1,0,1,6,17,5,4,0,0,0,0,0,0,0
75,full_active,0,0,0,5,"(0,10]",0,0,0,0,96,61-90,0,1,25,1032,0,0,1,7,227,3,4,0,0,0,0,0,0,0
76,full_active,0,0,0,102,"(100,150]",3,"[1,10)",0,0,137,91-180,0,1,25,1000,1,0,1,15,74,3,3,0,1,1,0,0,0,0
77,full_active,0,0,0,268,"(150,250]",1,"[1,10)",1,"[1,5)",323,181-365,0,6,8,395,1,0,0,25,281,1,0,0,0,1,0,0,0,0
78,full_active,0,0,0,15,"(10,50]",1,"[1,10)",0,0,350,181-365,1,3,8,308,1,0,1,6,123,2,0,0,0,0,0,0,0,0
79,full_active,0,0,0,16,"(10,50]",5,"[1,10)",0,0,268,181-365,1,3,1,435,4,0,1,6,123,2,2,2,1,0,0,1,0,0
80,full_active,0,0,0,6,"(0,10]",0,0,0,0,37,31-60,0,1,25,1030,0,0,1,19,256,4,2,0,0,0,0,0,0,0
81,full_active,0,0,0,651,500+,6,"[1,10)",3,"[1,5)",503,366-730,1,6,17,690,3,0,0,18,71,1,2,0,0,0,0,0,0,0
82,full_active,0,0,0,3,"(0,10]",0,0,0,0,94,61-90,0,1,17,611,1,0,1,15,333,3,3,0,0,0,0,0,0,0
83,full_active,0,0,1,78,"(50,100]",41,"[10,100)",33,"[30,60)",107,61-90,1,3,21,746,5,0,1,7,170,6,2,0,1,1,1,0,1,0
84,full_active,0,0,0,19,"(10,50]",0,0,0,0,226,181-365,0,3,25,987,1,0,1,45,146,1,2,0,0,0,0,0,0,0
85,full_active,0,0,0,79,"(50,100]",0,0,0,0,125,91-180,0,1,8,214,1,0,1,16,268,6,2,0,0,0,0,0,0,0
86,UNKNOWN,0,0,1,5,"(0,10]",9,"[1,10)",2,"[1,5)",246,181-365,1,4,0,12,1,0,1,15,179,4,2,0,1,0,0,0,0,0
87,full_active,0,0,0,103,"(150,250]",0,0,0,0,73,31-60,1,1,25,983,2,0,1,6,206,2,2,0,0,0,0,0,0,0
88,high_active,0,0,0,6,"(0,10]",0,0,0,0,508,366-730,0,4,8,207,1,0,1,6,14,4,0,0,1,0,0,0,0,0
89,full_active,0,0,1,179,"(150,250]",1,"[1,10)",1,"[1,5)",206,181-365,1,2,8,401,0,0,1,7,56,5,2,0,0,0,0,0,0,0
90,high_active,0,0,1,1060,500+,30,"[10,100)",3,"[1,5)",819,730+,1,1,25,1040,0,0,1,7,227,3,2,0,1,0,0,1,1,1
91,full_active,0,0,0,8,"(0,10]",0,0,0,0,210,181-365,1,1,8,196,0,0,1,6,35,5,2,0,0,0,0,0,0,0
92,full_active,0,0,1,93,"(50,100]",3,"[1,10)",0,0,201,181-365,1,6,17,611,1,0,0,44,42,1,3,0,0,0,1,0,0,0
93,full_active,0,0,0,2,"(0,10]",0,0,0,0,138,91-180,0,1,1,424,2,0,0,40,92,4,0,1,0,0,0,0,0,0
94,full_active,0,0,1,346,"(250,500]",21,"[10,100)",13,"[5,30)",1449,730+,1,4,25,998,0,0,0,25,265,1,2,0,0,0,0,0,0,0
95,full_active,0,0,0,10,"(10,50]",1,"[1,10)",0,0,65,31-60,0,3,17,611,1,0,1,15,179,4,2,0,1,0,0,0,0,0
96,high_active,0,0,0,15,"(10,50]",8,"[1,10)",0,0,276,181-365,1,1,10,508,0,0,0,34,198,6,2,0,0,0,0,0,0,0
97,high_active,0,0,0,48,"(10,50]",1,"[1,10)",0,0,180,181-365,0,4,24,891,2,0,1,19,54,4,2,0,1,0,0,0,0,0
98,full_active,0,0,0,63,"(50,100]",1,"[1,10)",0,0,329,181-365,1,1,0,9,1,0,1,37,122,1,3,0,0,0,0,0,0,0
99,full_active,0,0,0,442,"(250,500]",1,"[1,10)",0,0,349,181-365,1,1,8,351,0,0,0,36,94,5,3,0,0,0,0,0,0,0
100,full_active,0,0,0,162,"(100,150]",1,"[1,10)",0,0,179,91-180,1,6,24,916,1,0,1,3,297,4,2,0,0,0,0,0,0,0
101,high_active,0,0,0,326,"(250,500]",5,"[1,10)",0,0,326,181-365,1,1,24,858,1,0,0,40,92,4,0,0,0,0,0,0,0,0
102,full_active,0,0,0,17,"(10,50]",0,0,0,0,363,181-365,0,4,1,456,3,0,0,36,68,1,3,2,1,1,0,1,0,0
103,full_active,0,0,1,78,"(50,100]",10,"[10,100)",6,"[5,30)",280,181-365,0,5,24,917,1,0,0,12,338,3,3,0,0,0,0,0,0,0
104,full_active,0,0,1,25,"(10,50]",1,"[1,10)",0,0,316,181-365,1,5,17,686,1,0,1,4,192,5,3,0,1,0,1,0,0,0
105,full_active,0,0,0,40,"(10,50]",0,0,0,0,201,181-365,0,1,25,984,2,0,0,36,158,1,3,0,0,0,0,0,0,0
106,full_active,0,0,1,34,"(10,50]",4,"[1,10)",2,"[1,5)",1288,730+,1,2,25,984,2,0,1,19,151,5,2,0,1,1,0,0,1,0
107,full_active,0,0,0,30,"(10,50]",1,"[1,10)",1,"[1,5)",164,91-180,0,5,17,687,3,0,1,15,106,6,0,0,1,0,0,0,0,0
108,full_active,0,0,0,377,"(250,500]",7,"[1,10)",0,0,303,181-365,0,1,8,331,1,0,1,4,57,6,0,0,1,0,1,0,0,0
109,full_active,0,0,0,17,"(10,50]",2,"[1,10)",1,"[1,5)",385,181-365,0,1,13,530,0,0,0,34,20,6,4,0,0,0,0,0,0,0
110,full_active,0,0,0,79,"(50,100]",2,"[1,10)",0,0,142,91-180,1,5,8,380,2,0,0,25,188,4,2,0,0,0,0,0,0,0
111,full_active,0,0,0,3,"(0,10]",9,"[1,10)",0,0,390,366-730,0,1,8,373,1,0,1,19,256,4,3,0,0,0,0,0,0,0
112,high_active,0,0,0,5,"(0,10]",1,"[1,10)",0,0,94,91-180,0,2,13,539,0,0,1,6,257,3,3,0,0,0,0,0,0,0
113,high_active,0,0,0,40,"(10,50]",1,"[1,10)",0,0,204,181-365,0,1,8,268,1,0,1,45,153,4,4,0,0,0,0,0,0,0
114,full_active,0,0,0,28,"(10,50]",2,"[1,10)",2,"[1,5)",210,181-365,0,4,8,162,1,0,1,3,297,4,2,0,1,0,0,0,0,0
115,full_active,0,0,1,92,"(50,100]",14,"[10,100)",3,"[1,5)",473,366-730,1,3,25,1024,0,0,1,37,139,4,2,0,0,0,0,0,0,0
116,full_active,0,0,0,28,"(10,50]",2,"[1,10)",2,"[1,5)",102,91-180,0,1,24,860,2,0,1,0,332,3,3,0,1,0,0,0,0,0
117,full_active,0,0,0,36,"(10,50]",17,"[10,100)",6,"[5,30)",368,181-365,1,4,24,859,1,0,0,12,327,1,2,0,1,1,1,0,0,0
118,full_active,0,0,0,65,"(50,100]",2,"[1,10)",2,"[1,5)",59,31-60,0,5,8,135,1,0,0,34,224,5,2,0,0,0,0,0,0,0
119,high_active,0,0,0,13,"(10,50]",2,"[1,10)",0,0,50,61-90,0,1,24,887,2,0,1,7,56,5,2,0,0,0,0,0,0,0
120,full_active,0,0,0,7,"(0,10]",3,"[1,10)",0,0,224,181-365,0,1,24,876,1,0,1,4,98,6,0,0,0,0,0,0,0,0
121,full_active,0,0,0,28,"(10,50]",1,"[1,10)",0,0,305,181-365,1,1,25,1023,0,0,0,29,16,1,2,0,1,0,0,0,0,0
122,full_active,0,0,0,114,"(100,150]",2,"[1,10)",0,0,295,181-365,0,5,8,173,2,0,0,12,88,6,2,0,1,0,0,0,0,0
123,full_active,0,0,0,134,"(100,150]",1,"[1,10)",0,0,87,61-90,0,1,22,792,1,0,1,16,112,6,3,0,0,0,0,0,0,0
124,full_active,0,0,0,24,"(10,50]",0,0,0,0,297,181-365,0,1,7,96,0,0,1,3,297,4,2,0,0,0,0,0,0,0
125,full_active,0,0,0,31,"(10,50]",7,"[1,10)",2,"[1,5)",342,181-365,1,1,13,569,1,0,0,2,51,2,2,0,1,0,0,0,0,0
126,high_active,0,0,0,21,"(10,50]",0,0,0,0,233,181-365,0,1,8,384,0,0,1,6,257,3,2,0,0,0,0,0,0,0
127,full_active,0,0,0,17,"(10,50]",9,"[1,10)",4,"[1,5)",302,181-365,1,4,8,330,1,0,0,34,197,5,2,0,0,0,0,0,0,0
128,full_active,0,0,1,1999,500+,28,"[10,100)",16,"[5,30)",171,181-365,0,6,8,337,1,0,1,4,98,6,3,0,0,0,0,0,0,0
129,full_active,0,0,0,33,"(10,50]",12,"[10,100)",0,0,299,181-365,1,3,17,638,2,0,0,36,310,1,2,0,0,0,0,0,0,0
130,high_active,0,0,0,6,"(0,10]",0,0,0,0,189,181-365,1,3,8,206,2,0,0,18,286,1,2,0,0,0,0,0,0,0
131,high_active,0,0,0,33,"(10,50]",0,0,0,0,971,730+,1,1,24,854,1,0,1,15,333,3,2,0,1,0,0,0,0,0
132,full_active,0,0,0,138,"(100,150]",0,0,0,0,216,181-365,0,6,8,414,1,0,1,0,64,5,2,0,0,0,0,0,0,0
133,full_active,0,0,0,25,"(10,50]",0,0,0,0,120,91-180,0,6,8,184,3,0,0,34,95,6,2,0,0,0,0,0,0,0
134,full_active,0,0,0,142,"(50,100]",11,"[10,100)",0,0,282,181-365,1,1,25,34,3,0,0,11,290,6,2,0,1,0,0,0,0,0
135,full_active,0,0,0,27,"(10,50]",0,0,0,0,127,91-180,0,1,24,919,1,0,1,4,192,5,3,0,1,0,0,0,0,0
136,high_active,0,0,0,10,"(0,10]",0,0,0,0,84,31-60,0,1,8,196,0,0,1,6,184,6,3,0,0,0,0,0,0,0
137,full_active,0,0,0,9,"(0,10]",0,0,0,0,113,91-180,0,2,25,986,2,0,1,6,185,3,2,0,1,0,0,0,0,0
138,full_active,0,0,1,99,"(50,100]",3,"[1,10)",0,0,980,730+,1,3,24,811,1,0,0,21,167,1,2,0,0,0,0,0,0,0
139,full_active,0,0,0,424,"(250,500]",6,"[1,10)",5,"[1,5)",167,91-180,0,6,24,919,1,0,0,12,226,3,3,0,1,0,0,0,0,0
140,full_active,0,0,0,2,"(0,10]",0,0,0,0,89,61-90,0,1,24,920,1,0,1,6,213,6,2,0,0,0,0,0,0,0
141,full_active,0,0,0,1998,500+,77,"[100,1k)",77,250+,124,91-180,1,5,24,834,1,0,0,11,245,6,3,0,0,0,0,0,0,0
142,full_active,0,0,0,1,"(0,10]",0,0,0,0,155,91-180,0,1,25,1041,0,0,0,12,334,1,2,0,0,0,0,0,0,0
143,full_active,0,0,1,103,"(50,100]",6,"[1,10)",5,"[5,30)",552,366-730,0,6,8,156,0,0,1,6,252,6,3,0,0,0,0,0,0,0
144,full_active,0,0,0,25,"(10,50]",3,"[1,10)",0,0,313,181-365,1,4,24,918,1,0,0,11,38,6,3,0,0,0,0,0,0,0
145,full_active,0,0,0,198,"(150,250]",5,"[1,10)",3,"[1,5)",358,181-365,1,6,6,56,0,0,0,12,327,1,3,0,0,0,0,0,0,0
146,full_active,0,0,0,1805,500+,4,"[1,10)",1,"[1,5)",272,181-365,0,6,24,937,1,0,1,37,287,1,4,0,1,0,0,0,0,0
147,full_active,0,0,0,8,"(0,10]",0,0,0,0,141,91-180,1,1,1,450,1,0,1,45,153,4,2,2,0,1,0,0,0,0
148,high_active,0,0,0,14,"(10,50]",1,"[1,10)",0,0,163,91-180,0,1,25,1000,1,0,0,21,308,5,2,0,0,0,0,0,0,0
149,full_active,0,0,0,34,"(10,50]",9,"[1,10)",6,"[5,30)",906,730+,0,4,17,647,2,0,0,21,66,6,2,0,0,0,0,0,0,0
150,full_active,0,0,1,244,"(250,500]",23,"[10,100)",11,"[5,30)",499,366-730,0,6,24,928,1,0,0,18,286,1,2,0,0,1,0,0,0,0
151,full_active,0,0,0,65,"(50,100]",4,"[1,10)",2,"[1,5)",1280,730+,0,1,17,614,1,0,0,12,248,3,3,0,0,0,0,0,0,0
152,full_active,0,0,0,15,"(10,50]",1,"[1,10)",0,0,235,181-365,0,2,8,397,3,0,1,19,151,5,2,0,1,0,0,0,0,0
153,full_active,0,0,0,150,"(100,150]",16,"[10,100)",2,"[1,5)",306,181-365,1,5,25,998,0,0,0,12,88,6,2,0,0,0,0,0,0,0
154,full_active,0,0,0,436,"(250,500]",12,"[10,100)",1,"[1,5)",291,181-365,0,3,8,340,1,0,0,11,290,6,2,0,0,0,0,0,0,0
155,UNKNOWN,0,0,0,133,"(100,150]",0,0,0,0,1085,730+,1,3,8,168,0,0,1,19,238,6,2,0,0,0,0,0,1,1
156,full_active,0,0,0,2,"(0,10]",0,0,0,0,140,91-180,0,1,10,960,0,0,0,11,290,6,2,0,1,0,0,0,0,0
157,full_active,0,0,0,111,"(100,150]",0,0,0,0,331,181-365,0,2,25,1030,0,0,0,2,51,2,2,0,0,0,0,0,0,0
158,full_active,0,0,0,54,"(50,100]",1,"[1,10)",0,0,240,181-365,1,1,25,1046,1,0,1,4,244,5,2,0,1,0,0,0,0,0
159,full_active,0,0,0,264,"(150,250]",10,"[10,100)",0,0,656,366-730,1,5,17,662,1,0,0,12,36,3,2,0,1,0,0,0,0,0
160,full_active,0,0,0,23,"(10,50]",0,0,0,0,205,181-365,1,1,21,718,1,0,1,37,139,4,0,0,0,0,1,0,0,0
161,full_active,0,0,0,28,"(10,50]",4,"[1,10)",3,"[1,5)",239,181-365,0,3,1,452,1,0,1,6,35,5,0,2,0,0,0,0,0,0
162,full_active,0,0,0,17,"(10,50]",2,"[1,10)",1,"[1,5)",161,91-180,0,1,10,468,0,0,1,10,37,1,3,0,0,0,0,0,0,0
163,full_active,0,0,0,9,"(0,10]",0,0,0,0,56,31-60,0,1,11,486,0,0,0,34,321,4,3,0,0,0,0,0,0,0
164,full_active,0,0,0,23,"(10,50]",1,"[1,10)",1,"[1,5)",220,181-365,0,1,23,478,,0,1,37,114,1,3,0,0,0,0,0,0,0
165,full_active,0,0,0,19,"(10,50]",15,"[10,100)",0,0,301,181-365,0,2,24,876,1,0,1,4,98,6,3,0,0,0,0,0,0,0
166,high_active,0,0,0,12,"(10,50]",1,"[1,10)",0,0,116,61-90,0,1,13,546,0,0,0,12,88,6,2,0,0,0,0,0,0,0
167,full_active,0,0,1,1366,500+,8,"[1,10)",0,"[1,5)",476,366-730,0,6,17,607,1,0,1,19,54,4,2,0,1,0,1,0,0,0
168,full_active,0,0,0,6,"(0,10]",0,0,0,0,127,91-180,0,3,25,979,1,0,1,8,180,3,3,0,,,,,,
169,full_active,0,0,1,31,"(10,50]",2,"[1,10)",1,"[1,5)",181,91-180,0,4,13,536,1,0,1,6,185,3,2,0,1,0,0,0,0,0
170,high_active,0,0,0,44,"(10,50]",2,"[1,10)",0,0,125,91-180,0,1,24,886,1,0,0,40,92,4,2,0,1,0,0,0,0,0
171,high_active,0,0,0,4,"(0,10]",0,0,0,0,127,91-180,0,4,17,642,2,0,0,44,116,1,4,0,0,0,0,0,0,0
172,full_active,0,0,0,3,"(0,10]",6,"[1,10)",0,0,560,366-730,0,1,8,406,1,0,0,25,306,3,2,0,0,0,0,0,0,0
173,full_active,0,0,0,284,"(250,500]",1,"[1,10)",1,"[1,5)",237,181-365,0,5,24,884,1,0,1,37,139,4,0,0,0,0,0,0,0,0
174,high_active,0,0,0,10,"(0,10]",2,"[1,10)",0,0,192,91-180,0,2,25,999,1,0,0,34,197,5,3,0,1,0,0,0,0,0
175,full_active,0,0,0,70,"(50,100]",6,"[1,10)",1,"[1,5)",171,181-365,0,3,21,754,3,0,0,34,321,4,2,0,1,0,0,0,0,0
176,full_active,0,0,0,42,"(10,50]",1,"[1,10)",0,0,214,181-365,1,1,25,1029,0,0,0,2,51,2,2,0,0,0,0,0,0,0
